starting_layer,layers_to_prune,similarity,metric
0,1,0.5928200483322144,cosine
0,1,0.5594358444213867,angular
0,1,0.3618934750556946,custom
0,1,0.5480093955993652,cubic
0,1,0.3557303547859192,exp
0,2,0.5588902235031128,cosine
0,2,0.5375779271125793,angular
0,2,0.33583903312683105,custom
0,2,0.5298535823822021,cubic
0,2,0.32212257385253906,exp
0,3,0.5465011596679688,cosine
0,3,0.5296463966369629,angular
0,3,0.32657676935195923,custom
0,3,0.5234516859054565,cubic
0,3,0.31040844321250916,exp
0,4,0.5347381830215454,cosine
0,4,0.5221328735351562,angular
0,4,0.3178989887237549,custom
0,4,0.5174529552459717,cubic
0,4,0.2995518147945404,exp
0,5,0.5358668565750122,cosine
0,5,0.5228531956672668,angular
0,5,0.3187268376350403,custom
0,5,0.5180256962776184,cubic
0,5,0.3005824685096741,exp
0,6,0.5342594981193542,cosine
0,6,0.5218273997306824,angular
0,6,0.31754815578460693,custom
0,6,0.5172101259231567,cubic
0,6,0.2991153299808502,exp
0,7,0.5207246541976929,cosine
0,7,0.5131975412368774,angular
0,7,0.307702898979187,custom
0,7,0.5103801488876343,cubic
0,7,0.28694701194763184,exp
0,8,0.5379450917243958,cosine
0,8,0.5241798162460327,angular
0,8,0.32025378942489624,custom
0,8,0.5190818309783936,cubic
0,8,0.302486389875412,exp
0,9,0.5208393335342407,cosine
0,9,0.5132705569267273,angular
0,9,0.30778568983078003,custom
0,9,0.5104377865791321,cubic
0,9,0.28704869747161865,exp
0,10,0.5300409197807312,cosine
0,10,0.5191361904144287,angular
0,10,0.31446439027786255,custom
0,10,0.5150747299194336,cubic
0,10,0.2952873408794403,exp
0,11,0.515910267829895,cosine
0,11,0.5101305246353149,angular
0,11,0.30423444509506226,custom
0,11,0.5079631805419922,cubic
0,11,0.28269749879837036,exp
0,12,0.5190873742103577,cosine
0,12,0.5121543407440186,angular
0,12,0.30652135610580444,custom
0,12,0.5095575451850891,cubic
0,12,0.28549715876579285,exp
0,13,0.5363272428512573,cosine
0,13,0.5231470465660095,angular
0,13,0.31906479597091675,custom
0,13,0.5182595252990723,cubic
0,13,0.3010035455226898,exp
0,14,0.5374024510383606,cosine
0,14,0.5238333940505981,angular
0,14,0.3198547959327698,custom
0,14,0.5188059210777283,cubic
0,14,0.30198848247528076,exp
0,15,0.5321263074874878,cosine
0,15,0.5204663276672363,angular
0,15,0.3159870505332947,custom
0,15,0.5161294937133789,cubic
0,15,0.29717564582824707,exp
0,16,0.5296425223350525,cosine
0,16,0.5188820958137512,angular
0,16,0.3141738772392273,custom
0,16,0.5148733854293823,cubic
0,16,0.2949274778366089,exp
1,1,0.7836225032806396,cosine
1,1,0.6919907331466675,angular
1,1,0.5348360538482666,custom
1,1,0.6874414086341858,cubic
1,1,0.5937377214431763,exp
1,2,0.7281196117401123,cosine
1,2,0.6508038640022278,angular
1,2,0.47857850790023804,custom
1,2,0.6378018260002136,cubic
1,2,0.5149111151695251,exp
1,3,0.6750867962837219,cosine
1,3,0.6138774156570435,angular
1,3,0.42998844385147095,custom
1,3,0.5982780456542969,cubic
1,3,0.44734224677085876,exp
1,4,0.6519114971160889,cosine
1,4,0.598263144493103,angular
1,4,0.4100097417831421,custom
1,4,0.5829671025276184,cubic
1,4,0.4199918210506439,exp
1,5,0.5974001884460449,cosine
1,5,0.5624059438705444,angular
1,5,0.36549246311187744,custom
1,5,0.5505481362342834,cubic
1,5,0.36044424772262573,exp
1,6,0.5857917666435242,cosine
1,6,0.5548883676528931,angular
1,6,0.3564099073410034,custom
1,6,0.5441587567329407,cubic
1,6,0.3485802412033081,exp
1,7,0.5682745575904846,cosine
1,7,0.5436011552810669,angular
1,7,0.3429418206214905,custom
1,7,0.5347737669944763,cubic
1,7,0.3311907947063446,exp
1,8,0.5646379590034485,cosine
1,8,0.5412653088569641,angular
1,8,0.34018027782440186,custom
1,8,0.5328591465950012,cubic
1,8,0.32765650749206543,exp
1,9,0.5773272514343262,cosine
1,9,0.5494264364242554,angular
1,9,0.34986716508865356,custom
